For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
21.6,4.65,581,847,846,300,-637.1,287,-647,-98,-86.4,917,928,881,512,269,752,775,-86.49
23.1,4.76,551,848,851,299,-640.9,288,-657,-101,-95.8,909,946,882,616,512,760,791,-94.01
22.3,4.65,598,847,851,303,-632,295,-644,-90,-91,924,946,905,477,312,742,773,-85.93
20.4,4.36,630,826,825,308,-593.6,295,-602,-77,-78,917,950,918,78,295,695,705,-78.75
20.6,4.53,627,819,819,304,-590,286,-601,-80,-79.5,906,973,899,208,365,676,702,-77.2
20.8,4.53,603,819,818,303,-599.7,287,-613,-81,-91,940,971,912,174,382,687,714,-84.96
20.9,4.76,630,822,825,301,-609.5,289,-620,-92,-92.5,963,980,921,148,321,690,709,-85.9
21.5,4.88,657,842,841,300,-627.9,286,-641,-96,-98.6,953,982,898,122,312,732,760,-94.21
22,4.94,615,848,846,295,-641.2,285,-653,-108,-103.1,942,973,894,104,382,756,782,-100.13
22,4.65,624,847,846,301,-628,285,-639,-91,-85.3,948,959,888,87,304,734,765,-84.1
21.7,4.94,584,847,846,304,-625.2,283,-642,-99,-89.5,961,970,895,61,382,726,758,-90.05
22.2,4.94,573,847,846,302,-632.7,285,-650,-97,-91.6,938,963,905,61,391,746,770,-90.28
21.7,4.94,570,847,846,306,-630.3,283,-656,-100,-95.6,921,957,887,61,321,732,775,-94.79
21.8,4.94,554,848,846,302,-639,284,-656,-100,-94.8,901,964,887,61,417,754,787,-94.5
22.6,4.94,572,848,846,300,-630.4,287,-644,-86,-91.4,911,960,896,69,347,743,770,-90.05
22.1,4.94,571,847,846,299,-641.1,286,-652,-108,-95.4,959,955,905,61,382,726,767,-92.56
21.8,4.94,610,848,847,311,-624.7,275,-661,-105,-104.1,962,949,894,69,356,723,763,-101.48
22.6,4.94,574,847,846,296,-636.9,286,-646,-104,-95.1,960,950,890,156,356,743,764,-94.49
21.6,4.94,622,847,846,300,-639.9,285,-649,-102,-94.1,967,950,892,95,486,735,768,-90.96
22.4,4.77,578,847,847,287,-642.3,296,-637,-101,-101,936,953,884,486,304,752,774,-100.06
21.9,4.53,611,837,836,315,-610.1,285,-628,-95,-93.5,949,943,904,547,295,711,743,-91.9
17.9,3.55,590,847,845,327,-602.8,316,-614,-98,-102,938,886,962,130,269,719,738,-101.81
21.6,4.19,601,828,827,323,-586.2,298,-609,-95,-96.3,951,924,925,582,295,676,708,-93.96
20.9,4.19,571,758,756,310,-510.9,297,-525,-73,-71.4,902,930,901,582,304,530,565,-74.42
