For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
24.9,4.88,637,857,856,301,-652.6,285,-667,-92,-79.4,894,1001,918,365,295,771,800,-83.39
23.3,4.88,646,837,836,305,-618,291,-630,-85,-83.8,869,1006,920,52,304,718,738,-86.66
22.5,4.88,621,807,806,304,-572.7,290,-587,-80,-75.2,908,992,923,139,365,640,669,-78.9
22.1,4.76,594,807,806,296,-590.8,293,-594,-88,-87.9,938,978,927,260,304,653,674,-88.56
22.3,4.76,641,798,796,300,-564.2,286,-574,-81,-77.1,948,967,926,260,295,624,659,-79
22.5,4.71,627,797,796,296,-573.1,289,-578,-84,-80.1,940,991,914,434,538,615,643,-80.25
22.1,4.71,640,786,785,300,-556.4,290,-564,-74,-74.8,930,980,932,417,295,593,607,-75.1
22.1,4.71,598,787,786,292,-556.8,288,-562,-77,-68.4,911,988,916,148,304,604,623,-71.41
22.4,4.71,605,788,786,293,-551.3,285,-564,-76,-71.1,889,992,915,278,365,601,631,-74.11
22.4,4.71,592,788,786,291,-560.5,286,-568,-77,-71.4,851,996,906,347,304,593,627,-74.27
25,4.94,614,848,846,300,-629,284,-647,-90,-80.3,865,1002,917,599,339,739,766,-82.25
26,4.94,651,848,846,296,-640.5,287,-656,-91,-79.9,891,1005,921,773,278,755,791,-77.14
26,4.94,648,853,851,295,-648.9,285,-661,-90,-85.4,941,993,912,1371,512,778,799,-81.83
25.5,4.93,675,853,851,286,-650,284,-654,-93,-86.3,992,999,914,616,312,766,784,-84.74
23,4.94,635,858,857,291,-648.5,286,-651,-103,-105.3,975,996,916,61,278,772,785,-96.9
24,4.94,661,857,856,296,-653.8,283,-667,-96,-93.6,981,981,927,286,312,761,784,-89.46
25,4.94,664,858,857,297,-654.4,286,-665,-103,-85.5,974,982,918,373,304,778,807,-87.43
26,4.94,668,858,857,293,-652.4,285,-667,-95,-82.4,966,987,914,616,286,787,821,-84.84
24.4,4.94,631,857,856,292,-656.2,288,-661,-90,-82.1,935,991,906,87,286,779,798,-85.74
25.4,4.94,626,858,857,295,-651.4,292,-661,-91,-86,907,994,913,486,278,804,825,-87.88
26,4.94,619,857,856,297,-654.1,287,-668,-99,-84.9,890,994,923,408,556,775,790,-86.54
25.6,4.94,662,857,856,297,-653.5,284,-666,-89,-81.6,913,992,904,226,312,767,795,-83.27
25.1,4.94,679,857,856,301,-651.4,285,-668,-87,-85.5,973,982,938,339,286,781,807,-86.32
24.7,4.94,669,858,856,299,-650.1,286,-662,-102,-89.7,984,991,932,495,304,766,798,-87.4
24.8,4.94,655,857,856,302,-641.6,281,-668,-94,-88.6,977,980,927,521,252,756,799,-88.73
25.4,4.94,652,857,856,295,-657.3,282,-670,-94,-90.9,973,984,905,634,234,771,797,-91.78
24.7,4.94,630,857,856,297,-651.9,284,-662,-94,-94.4,980,978,912,451,182,793,808,-97.38
25,4.65,623,858,856,298,-648,286,-659,-90,-85.8,986,966,920,208,95,777,800,-84.7
25.4,4.65,647,857,856,297,-654.7,287,-667,-86,-82,960,967,924,1710,260,785,815,-84.14
25.3,4.65,634,857,856,297,-656.9,287,-675,-90,-86.9,907,973,906,104,0,814,830,-87.09
25.2,4.71,652,857,857,297,-648.4,292,-667,-90,-81.7,912,988,924,616,208,782,823,-83.86
25.2,4.93,661,858,856,295,-648.1,290,-659,-89,-90.3,924,987,906,538,0,779,808,-84.87
25.4,4.94,685,857,856,299,-647.9,285,-661,-87,-83.3,971,988,908,521,0,788,803,-78.98
25.2,4.94,662,857,856,294,-649.1,286,-661,-88,-87.5,969,1000,910,443,0,772,803,-81.75
24.5,4.93,651,857,857,300,-641.1,279,-666,-95,-86,952,995,909,122,0,757,809,-83.52
24.6,4.93,666,857,856,298,-641.1,280,-673,-97,-88.8,956,992,917,174,0,781,835,-90.14
25,4.76,669,857,857,301,-643.3,279,-674,-91,-93.5,971,994,910,365,26,781,818,-87.93
25.4,4.76,644,857,856,289,-655.9,289,-663,-97,-83.2,953,991,910,503,130,778,798,-82.41
25.8,4.76,653,857,856,296,-654.8,286,-669,-85,-81.5,933,1000,921,616,130,784,808,-81.3
26,4.94,661,857,856,295,-654.1,285,-658,-90,-83.5,895,1011,913,512,312,788,805,-83.73
26,4.94,645,858,856,289,-645.4,290,-650,-87,-81.5,880,1005,904,217,312,772,809,-80.38
26,4.94,597,853,851,291,-651.3,287,-658,-92,-81.9,886,998,912,87,573,762,783,-84.18
26,4.94,627,852,851,290,-646.5,288,-652,-91,-82,926,1001,906,312,304,765,783,-83.94
25.5,4.94,659,852,851,294,-649.6,282,-661,-91,-90.4,970,989,928,408,460,758,784,-85.72
25.6,4.94,635,852,851,294,-649.4,281,-662,-96,-89.1,949,994,918,460,339,783,802,-86.77
26,4.94,621,852,850,293,-643.6,283,-658,-89,-83.6,956,994,908,538,408,765,789,-86.52
25.7,4.94,634,852,851,294,-638.3,280,-651,-93,-86.7,949,998,908,443,521,756,786,-86.72
25,4.94,628,852,850,301,-644.6,276,-671,-94,-86.2,932,996,894,87,304,757,812,-88.21
26,4.94,634,853,851,289,-641.9,285,-652,-92,-85.2,905,993,924,174,295,766,793,-84.9
26,4.94,575,852,851,288,-652,277,-667,-97,-88.3,878,1002,911,408,365,773,800,-86.42
26,4.53,685,857,857,299,-653.7,278,-676,-101,-88,914,1000,913,547,668,756,794,-86.98
25.9,4.87,681,857,856,292,-649.6,281,-665,-90,-88.6,971,1003,915,651,356,784,820,-87.98
25.5,4.93,683,857,856,295,-645,279,-664,-92,-85.8,986,1003,913,425,339,769,808,-85.04
25.3,4.93,664,862,860,292,-648.1,278,-662,-99,-87.8,993,1014,906,1615,0,768,800,-88.92
25.2,4.93,686,862,861,289,-675.1,284,-686,-114,-96.7,965,1001,915,87,0,795,829,-94.48
25.1,4.93,674,862,860,288,-666.1,287,-670,-94,-92.4,948,1003,923,408,9,797,814,-87.99
25.2,4.94,651,863,861,288,-658.5,287,-674,-98,-93.5,939,1016,914,104,26,794,814,-89.83
25,4.94,622,857,856,293,-650.5,281,-669,-96,-90.5,937,1013,924,87,87,771,798,-87.52
25,4.94,651,857,856,293,-661,282,-676,-96,-90.5,965,1006,926,807,747,773,808,-86.8
24.6,4.94,603,857,855,291,-643.5,280,-657,-90,-87.8,912,1006,913,434,356,773,807,-83.4
24.5,4.93,617,858,857,288,-649.8,286,-655,-89,-81.3,902,993,913,113,694,770,796,-81.11
26,4.94,630,858,856,284,-662.4,290,-662,-92,-82.5,891,1001,909,130,347,788,801,-83.85
25,4.94,600,858,856,293,-654.6,292,-659,-83,-81.6,880,1002,916,87,356,790,814,-82.28
25,4.94,638,857,856,289,-656.6,294,-658,-89,-87.6,919,988,921,495,373,782,801,-87.19
19.3,3.78,605,747,747,340,-463.6,326,-467,-60,-62.2,926,850,970,156,312,482,499,-68.43
24.4,4.82,656,847,846,309,-622.1,299,-633,-89,-82.2,966,914,895,625,373,745,785,-85.27
25.2,4.94,600,847,846,299,-615.2,294,-627,-90,-84,971,943,897,226,1849,738,762,-84.91
25.1,4.94,595,853,857,292,-641.2,287,-653,-96,-92.9,952,948,891,451,564,762,800,-90.92
24.5,4.88,546,852,846,294,-643,277,-656,-101,-98.4,950,953,891,95,391,782,781,-94.41
25.5,4.88,607,848,846,294,-631.3,277,-659,-96,-87.8,930,957,889,556,382,754,797,-86.63
25.7,4.94,617,847,846,298,-626.9,282,-657,-86,-83.2,942,958,895,1398,998,768,810,-81.84
25.5,4.94,611,853,856,293,-637.3,291,-645,-83,-81.3,897,966,889,651,347,770,797,-80.92
25.2,4.94,652,857,856,302,-636.9,284,-657,-84,-80.8,916,980,907,139,347,790,810,-81.29
25.2,4.93,696,857,856,300,-648,278,-671,-88,-90,969,986,897,260,816,790,815,-88.78
24.8,4.94,674,857,856,290,-657.4,283,-676,-106,-90,975,989,901,417,382,769,810,-87.7
25.2,4.94,707,857,856,297,-649.3,280,-670,-93,-80.9,974,982,881,582,373,795,821,-83.74
24.9,4.93,717,858,857,298,-647.7,284,-653,-89,-75.2,986,994,878,52,373,775,808,-79.06
24.7,4.94,687,858,857,300,-643.7,286,-664,-93,-85.1,974,990,889,69,339,770,809,-86.62
24.8,4.94,654,857,857,297,-641.3,287,-668,-85,-89,958,983,894,52,373,779,820,-85.73
25.5,4.94,661,857,856,292,-649.7,287,-660,-86,-81,945,993,883,61,1120,792,812,-81.82
25.5,4.94,662,857,857,291,-644.3,292,-642,-86,-76.9,942,997,879,61,391,778,794,-76.17
25.4,4.94,638,858,857,299,-642.3,288,-661,-93,-78,908,1005,880,69,295,777,817,-80.75
24.9,4.93,691,847,851,306,-628.3,282,-655,-82,-75.6,917,1008,896,330,295,754,795,-75.06
23.8,4.94,669,848,851,307,-636.1,277,-661,-91,-78.2,936,1043,894,443,278,747,797,-75.78
24.9,4.94,616,847,850,291,-643.5,286,-653,-84,-76.5,952,1009,886,347,252,766,794,-76.52
24.6,4.94,624,848,851,305,-631.5,274,-669,-98,-91.2,970,990,890,339,260,760,817,-90.39
24.8,4.94,667,847,850,287,-663.2,291,-653,-105,-96.4,977,988,890,130,234,796,789,-94.31
24.6,4.94,614,847,851,286,-654.5,289,-658,-97,-99.9,985,978,897,61,538,782,807,-91.2
24.4,4.65,596,848,852,282,-652.1,297,-643,-101,-86.9,973,957,890,78,226,759,790,-86.54
24.6,4.24,633,847,850,294,-634,303,-632,-82,-73,942,946,902,278,304,756,778,-77.56
7,0.79,483,647,646,288,-333.5,275,-344,-36,-47,764,98,686,529,2109,329,351,-39.44
18,0.97,484,647,646,376,-312.4,360,-320,-8,-20.2,924,130,1091,252,200,311,330,-28.29
23,2.69,574,707,696,325,-417,320,-419,-32,-26.6,880,466,911,208,260,426,438,-39
23.4,3.38,637,707,706,317,-446.3,302,-457,-46,-37.2,899,619,906,148,312,435,462,-49.56
23.4,3.43,630,737,736,306,-484.7,303,-485,-44,-39.6,906,649,921,165,339,509,529,-51.17
24,3.56,636,747,746,303,-495.4,307,-492,-50,-44.3,898,707,921,174,321,520,542,-55.34
23,3.78,651,767,766,318,-525.4,305,-536,-60,-51.2,929,749,940,208,339,575,590,-60.45
23.8,3.96,639,797,796,314,-572.7,298,-577,-81,-63.3,982,771,920,130,304,630,639,-68.42
24.2,4.24,650,797,796,304,-573,297,-576,-74,-65.6,1006,804,918,339,330,635,652,-68.67
23.3,4.36,607,797,796,304,-585.1,295,-587,-84,-76.7,977,824,914,304,330,636,646,-74.6
21.5,4.47,600,797,796,299,-569.2,312,-565,-86,-69.4,974,839,956,200,356,626,636,-68.79
21.6,3.78,665,777,776,307,-536.6,310,-540,-60,-57.5,955,835,933,339,747,599,610,-59.27
21.3,3.44,643,767,766,298,-525.1,302,-524,-56,-54.3,948,853,910,312,365,585,594,-52.46
21.9,3.43,663,778,777,308,-541.4,294,-548,-65,-66.4,907,873,923,95,347,601,610,-63.7
22.5,3.43,662,787,786,303,-543.8,297,-552,-60,-66.6,893,894,910,200,382,618,637,-62.05
24,3.78,651,813,811,302,-585.5,293,-599,-72,-63.6,909,906,903,469,451,681,697,-61.84
25.2,4.19,608,822,821,284,-621.7,294,-612,-78,-68.6,897,914,888,582,529,732,735,-68.33
24.8,4.07,655,822,821,282,-622.9,297,-605,-81,-72.2,927,911,894,477,339,703,709,-69.68
24.8,4.12,670,827,825,297,-615.8,287,-626,-76,-66,984,911,896,538,556,717,733,-66.91
24.1,4.18,698,827,825,290,-630,293,-619,-77,-70.2,1024,911,904,234,330,721,730,-70.84
24.2,4.18,700,827,825,300,-615,285,-625,-77,-68.7,1005,913,903,113,339,714,741,-68.66
24.4,4.24,708,827,826,284,-632.2,301,-621,-85,-80,990,930,901,538,391,740,744,-79.68
24.6,4.24,652,827,826,292,-620.7,291,-633,-76,-72,954,934,898,911,312,734,783,-69.97
24.7,4.24,670,827,825,304,-610.1,282,-629,-81,-65.4,978,931,896,877,330,712,736,-69.48
25,4.24,674,837,836,301,-623.9,293,-637,-78,-62.6,944,941,908,130,252,737,765,-67.11
25.4,4.24,684,837,836,316,-627.2,284,-642,-70,-64.1,936,939,899,104,148,764,781,-65.28
25.4,4.36,610,836,836,288,-639,304,-629,-80,-73.6,901,952,900,104,78,744,753,-74.71
25.4,4.36,623,836,836,296,-627.8,292,-635,-69,-66,880,945,893,95,87,756,786,-66.4
25,4.36,676,827,826,298,-615,290,-629,-72,-62.7,935,960,902,95,61,719,748,-64.96
24.8,4.36,674,827,826,296,-623.7,294,-627,-76,-76.5,949,953,904,95,61,727,752,-73.62
25,4.36,629,827,826,290,-628.4,296,-630,-81,-77.1,944,954,897,304,78,713,740,-73.59
24.7,4.47,659,827,826,290,-623.3,299,-616,-79,-71.2,991,936,890,321,95,717,728,-69.23
23.8,4.47,667,827,826,296,-622,295,-623,-88,-76.1,997,948,908,139,78,707,721,-73.14
24,4.47,691,827,826,297,-609.7,294,-610,-72,-69.8,962,957,897,373,69,715,731,-65.56
24.2,4.47,649,827,826,300,-607.5,287,-627,-73,-70.7,932,966,895,503,104,715,741,-66.23
24.2,4.47,628,827,826,296,-614.6,291,-622,-75,-73.9,931,975,902,556,191,719,744,-66.14
24.6,4.47,622,827,826,303,-612.8,285,-637,-88,-74.6,908,965,897,729,382,707,734,-70.79
24.6,4.47,628,827,826,300,-610,290,-626,-79,-66,921,962,899,720,408,714,744,-64.88
24.4,4.47,640,827,826,288,-626.7,297,-618,-78,-72.2,919,964,896,720,399,728,737,-68.33
24.5,4.47,658,827,826,285,-616.7,302,-602,-69,-70.4,948,965,904,573,373,735,734,-68.27
24.6,4.47,644,823,821,282,-614,295,-602,-75,-71.6,979,964,891,156,391,723,722,-70.05
23.7,4.47,697,822,821,293,-613,289,-617,-86,-76.8,1008,956,907,495,373,695,705,-75.33
24,4.47,648,817,816,287,-602.4,291,-609,-74,-68.9,980,954,890,729,391,692,717,-70.99
25,4.47,679,817,816,302,-598.4,280,-618,-72,-62.8,979,958,892,799,391,696,727,-66.42
24.4,4.47,637,817,816,283,-616.7,296,-605,-66,-58.7,959,970,884,807,365,713,730,-63.28
24.6,4.47,649,817,815,286,-613.3,295,-615,-72,-61.8,939,981,893,755,529,702,720,-66.88
26,4.53,715,837,836,289,-645.5,292,-650,-82,-60.5,930,984,879,1276,469,749,771,-66.09
25.7,4.65,627,848,846,286,-659.6,296,-642,-71,-63.7,910,987,896,113,391,807,803,-65.3
26,4.65,618,847,847,279,-655.3,303,-647,-83,-62.4,885,984,890,564,486,790,825,-68.58
26,4.65,638,847,846,294,-655.9,289,-662,-84,-66,902,981,887,885,495,766,786,-70.3
25.9,4.65,661,847,846,281,-668.1,299,-647,-83,-71.5,895,987,885,191,356,775,777,-73.37
26,4.94,621,837,836,290,-639.6,286,-647,-71,-65.8,903,985,880,851,417,744,763,-71.12
26,4.94,617,832,831,297,-624.3,276,-636,-69,-76.3,927,981,883,304,408,752,778,-78.58
25.7,4.94,595,832,831,284,-644.9,288,-637,-81,-69.7,975,973,886,182,460,745,754,-75.48
25.6,4.93,655,832,831,286,-644.7,289,-639,-85,-73.8,982,967,889,382,365,733,745,-75.05
25,4.94,621,832,831,297,-634.4,276,-648,-74,-74.9,981,972,883,538,391,751,786,-75.32
25.8,4.94,611,832,831,286,-643.3,277,-642,-77,-62.2,991,965,881,799,521,756,772,-67.16
26,4.94,614,832,830,279,-635.2,284,-639,-73,-61.5,951,973,879,1146,929,752,759,-63.56
25.9,4.94,587,838,836,283,-642.7,285,-642,-75,-69.8,896,981,882,582,425,772,779,-69.24
25.9,4.94,610,837,836,283,-629,292,-628,-69,-66.8,889,983,889,503,312,756,767,-68.03
26,4.94,585,837,836,273,-649.9,296,-620,-66,-66.3,880,984,886,226,304,782,768,-64.52
25.9,4.94,611,842,841,312,-613.8,266,-671,-78,-71.1,930,975,879,790,1068,741,798,-69.59
26,4.65,596,842,841,297,-635.2,274,-658,-80,-66.4,929,977,880,625,312,754,793,-67.29
26,4.94,624,837,836,301,-635.2,273,-665,-85,-72.6,956,974,879,694,260,734,777,-71.72
26,4.94,643,842,841,304,-633.8,268,-668,-81,-75.3,1008,969,884,599,286,750,799,-72.45
25,4.94,632,827,825,308,-614.6,268,-645,-78,-71.8,1001,970,901,460,260,728,765,-70.6
24.8,4.93,632,828,826,302,-620.3,276,-636,-78,-76.5,1007,963,894,417,842,720,751,-73.65
24.6,4.94,646,832,831,303,-627.2,280,-639,-81,-68.7,999,958,907,130,356,723,757,-70.8
24,4.94,640,832,831,308,-628.5,275,-659,-84,-75.6,968,973,896,373,156,722,746,-72.54
24.5,4.94,590,837,836,313,-624.9,275,-667,-81,-71.3,937,971,911,434,130,729,777,-72.23
24.3,4.94,601,837,836,289,-639.3,299,-633,-75,-64.2,918,968,898,451,0,739,752,-67.66
24.3,4.94,615,837,836,282,-656.1,306,-627,-81,-72.8,902,964,900,469,0,744,741,-76.37
24.5,4.94,590,837,836,283,-647,303,-624,-74,-67.8,908,971,900,486,0,762,765,-70.83
24.5,4.94,597,837,836,298,-637,285,-646,-82,-69.4,923,980,891,113,0,736,761,-72.89
24.3,4.94,631,836,836,288,-627.6,295,-621,-75,-72.8,976,978,897,278,0,739,758,-75.03
24,4.94,674,837,836,289,-638.9,294,-634,-81,-69.7,993,974,899,391,0,742,765,-75.99
23.9,4.93,676,837,836,297,-628.1,287,-640,-78,-66.9,990,953,901,573,0,736,762,-70.23
24,4.94,619,837,836,287,-639.1,295,-630,-81,-73.3,957,962,897,365,0,742,755,-74.57
25,4.94,664,837,836,283,-648.7,301,-629,-73,-61.8,925,970,895,382,9,764,767,-66.42
24.5,4.94,637,836,836,289,-642.3,296,-624,-74,-61.7,896,981,893,295,208,757,760,-64.74
24.2,4.94,602,838,836,301,-632.9,281,-659,-88,-76.6,918,983,893,113,252,734,778,-81.19
24.6,4.94,629,837,836,298,-634.3,281,-638,-78,-63.9,895,984,891,321,226,740,761,-66.61
24.9,4.93,639,837,836,278,-645.1,300,-631,-82,-71.8,893,990,896,382,217,754,744,-71.15
25,4.94,624,837,836,277,-636.6,300,-616,-73,-65.6,920,980,904,773,590,762,771,-64.45
24,4.94,624,837,836,281,-641.7,295,-633,-78,-67.3,931,979,894,443,226,757,761,-67.67
24.7,4.94,606,837,836,276,-646.8,299,-626,-80,-71.2,968,957,892,486,234,747,749,-66.74
24.5,4.94,624,837,836,297,-626.7,279,-653,-89,-78.3,948,962,903,148,304,731,766,-72.51
24.3,4.94,593,837,835,302,-611.8,272,-646,-75,-67.9,973,961,892,339,234,736,780,-66.9
25,4.94,620,837,836,279,-635.6,295,-623,-81,-75.2,998,946,897,460,417,746,757,-72.25
25.2,4.94,632,838,836,272,-648.4,304,-633,-75,-70.7,973,949,904,408,234,767,765,-70.44
24.4,4.94,629,837,836,278,-640.9,298,-620,-74,-70.5,966,941,894,460,252,759,753,-69.93
25.5,4.76,573,842,842,277,-658.2,302,-635,-81,-68.3,911,947,892,538,234,771,772,-70.23
26,4.94,590,837,836,286,-633.6,291,-631,-65,-59.9,893,964,889,356,260,750,776,-63.24
25.6,4.94,647,837,836,288,-644.6,292,-640,-74,-66.6,885,970,892,156,217,754,765,-68.65
25.9,4.94,657,837,836,281,-649.4,298,-631,-67,-65.7,929,981,898,174,208,780,777,-66.07
24.9,4.76,646,838,836,281,-650.1,301,-625,-71,-67.6,993,965,899,95,634,764,761,-71.14
24.9,4.94,625,838,836,281,-657.6,298,-636,-81,-64.9,974,944,901,443,234,744,739,-72.08
25.2,4.94,608,838,836,293,-634.8,285,-650,-78,-69.9,979,937,898,104,330,758,797,-70.61
25.5,4.94,608,837,836,292,-635.9,289,-635,-68,-65.2,966,943,901,408,226,755,784,-69.04
25.3,4.94,616,837,836,284,-647,297,-651,-78,-66.8,960,948,900,156,226,754,787,-71.88
26,4.94,596,837,836,286,-644.2,295,-634,-69,-61.3,934,957,899,278,200,760,767,-66.66
25.8,4.94,610,837,836,287,-648.1,291,-653,-83,-70.6,908,963,897,469,217,740,771,-73.9
25.9,4.94,592,837,836,280,-637.8,298,-632,-63,-64.1,899,964,898,477,226,759,775,-64.66
25.9,4.94,606,838,836,286,-637.3,293,-631,-69,-63.8,893,967,898,156,226,777,784,-65.65
25.8,4.94,583,837,836,288,-629.8,290,-638,-73,-66.6,910,977,898,148,252,747,773,-69.96
26,4.94,589,832,835,288,-634.9,290,-647,-80,-61.7,928,966,901,130,243,733,781,-64.87
25.1,4.94,640,832,831,290,-642.8,288,-652,-93,-74.8,951,960,898,122,100,723,751,-76.75
25.3,4.94,623,832,831,295,-628.5,284,-649,-80,-74.8,944,950,895,130,35,736,777,-70.7
25.8,4.76,624,832,831,279,-625.1,294,-618,-70,-69.1,945,957,890,122,43,735,741,-67.96
25.3,4.24,614,832,831,294,-622.1,290,-632,-71,-69,938,954,909,104,61,735,761,-67.84
25.6,4.24,611,832,831,291,-618,294,-625,-68,-58.5,904,952,905,104,61,741,770,-60.64
26,4.24,619,832,831,307,-620.2,278,-636,-69,-70.4,936,949,900,104,43,731,755,-69.47
26,4.24,604,832,831,297,-617.9,287,-629,-70,-61.3,911,953,897,104,69,732,766,-64.66
26,4.24,616,833,831,298,-616.1,287,-630,-61,-59.5,926,953,895,87,87,750,791,-61.94
26,4.35,675,833,831,308,-610.3,279,-641,-64,-57.5,928,969,897,87,139,737,778,-62.98
26,4.47,670,832,831,302,-621.4,282,-646,-77,-59.5,930,979,893,590,130,714,743,-64.71
26,4.53,616,832,831,304,-621.1,277,-643,-70,-63.9,924,985,895,95,217,728,769,-67.25
25.8,4.53,613,833,831,305,-618.7,279,-638,-65,-64.1,975,962,905,95,269,731,776,-66.08
25.5,4.58,630,833,831,301,-626.8,279,-642,-82,-68.3,969,963,908,78,347,732,765,-69.57
26,4.58,646,832,831,295,-625.8,279,-655,-77,-64.5,979,956,901,78,356,730,781,-69.42
26,4.59,613,832,831,294,-640.4,284,-644,-73,-65.9,968,953,894,87,382,748,757,-70.42
25.6,4.65,634,832,830,284,-637.1,295,-626,-71,-62,969,962,903,78,356,746,752,-66.61
25.3,4.65,614,832,831,298,-634.6,284,-641,-78,-70.5,965,960,902,87,330,750,765,-72.4
26,4.65,593,832,831,290,-635.5,285,-644,-77,-55.8,954,958,897,78,373,733,770,-62.23
26,4.65,606,832,831,292,-628.8,285,-632,-67,-62,931,945,887,87,347,746,770,-65.06
25.9,4.65,618,832,831,296,-620,281,-639,-67,-55.7,940,956,889,78,347,729,765,-64.12
26,4.65,609,832,831,291,-624.1,284,-638,-70,-56.9,921,963,895,78,321,729,760,-63.67
26,4.65,596,832,831,278,-651.5,300,-630,-66,-61.4,911,978,895,61,200,751,753,-66.32
26,4.65,614,833,831,292,-623.7,285,-646,-65,-59.9,908,976,891,330,182,736,776,-62.12
26,4.65,599,832,831,300,-618,278,-643,-66,-64,901,975,893,382,104,736,781,-63.88
26,4.65,600,827,826,299,-612,275,-639,-73,-67,909,983,890,408,43,721,755,-70.46
26,4.65,649,827,826,290,-613.9,283,-633,-71,-63.8,928,980,899,477,35,717,749,-65.24
25.4,4.65,646,827,825,286,-622.3,288,-621,-67,-63.7,964,979,906,312,43,728,742,-62.84
25.3,4.65,647,827,825,296,-615.4,278,-634,-73,-64.2,958,976,901,78,100,723,744,-62.9
25,4.65,612,828,826,300,-610.6,274,-632,-68,-62.8,955,968,900,87,43,733,773,-61.32
25.5,4.65,610,827,826,294,-627.3,278,-645,-83,-65.7,954,972,896,217,78,707,735,-65.61
25.9,4.65,647,827,826,288,-624.6,287,-633,-74,-63.3,960,965,897,243,95,722,753,-65.38
25.6,4.65,687,827,826,289,-626.2,301,-620,-71,-59.8,972,941,904,95,78,728,731,-62.08
24.9,3.66,698,827,825,331,-586.4,342,-584,-60,-54.5,950,859,967,87,104,697,714,-58.68
26,4.65,654,827,826,305,-612.9,280,-633,-72,-61.2,946,969,899,78,104,707,750,-64.66
25.3,4.65,625,827,826,307,-622,274,-646,-75,-73.3,925,980,900,78,95,710,739,-75.34
25.5,4.65,641,826,826,303,-613.1,281,-626,-66,-59.2,930,973,903,78,130,708,742,-62.97
25.8,4.65,644,827,826,292,-621.9,285,-625,-67,-67.2,939,973,897,69,130,720,763,-69.27
25.8,4.65,645,827,826,297,-627,281,-633,-81,-66.7,959,981,898,78,0,700,737,-72.81
25.6,4.65,661,827,825,297,-623.4,283,-634,-72,-63.9,970,979,908,87,200,723,755,-67.21
25.5,4.65,630,827,826,301,-613.6,276,-634,-75,-72.8,982,965,902,87,182,714,753,-69.64
25.7,4.65,624,827,826,295,-624.4,280,-638,-86,-70.8,931,978,902,87,321,710,740,-77.7
26,4.65,637,827,826,295,-609.8,283,-626,-66,-59.4,900,981,909,78,382,726,764,-64.95
25.2,4.65,619,827,825,292,-618.2,289,-625,-72,-62.9,910,983,903,87,365,719,744,-68.43
25.8,4.65,635,827,826,294,-621.3,285,-627,-71,-64.8,930,984,907,87,365,722,743,-68.07
25.3,4.76,658,827,826,298,-627.6,284,-636,-77,-70.7,965,988,913,87,373,717,736,-70.11
25.3,4.76,687,827,826,281,-633.7,298,-624,-77,-61.9,973,980,904,286,373,732,740,-65.56
25.1,4.76,651,827,826,299,-616.8,282,-635,-79,-69,979,976,907,69,365,710,750,-69.97
25.6,4.65,613,827,825,295,-613.7,281,-635,-78,-66.7,970,978,907,547,365,715,753,-68.46
25.3,4.36,600,837,835,290,-639.3,288,-643,-87,-75.5,947,958,932,104,100,728,751,-72.46
25.1,4.76,617,837,836,294,-635.4,285,-638,-76,-71.5,941,976,916,234,347,767,775,-68.92
25.5,4.76,615,838,836,297,-627.6,284,-642,-75,-70.4,921,980,904,252,365,743,768,-66.7
25.3,4.76,615,827,826,299,-612.4,278,-631,-75,-67.3,930,975,897,174,365,708,743,-65.22
25.4,4.76,585,827,825,298,-604.3,281,-621,-76,-58.9,921,970,899,460,391,706,755,-60.51
25.5,4.65,612,837,836,293,-626.1,292,-633,-65,-56.8,936,955,898,356,321,743,775,-58.53
25.5,4.65,670,833,831,301,-625.8,282,-645,-70,-64.3,928,971,896,460,269,728,755,-66.19
25,4.65,666,832,832,301,-617.8,286,-635,-70,-64.7,931,981,906,469,200,726,766,-66.57
25.9,4.65,671,832,831,299,-624.5,283,-635,-78,-66.5,954,974,900,165,182,722,750,-67.35
25,4.65,668,832,831,303,-619.1,279,-637,-69,-62.2,986,968,903,113,130,733,780,-63.4
25.4,4.65,660,832,831,297,-619,288,-632,-70,-60.8,986,968,914,365,113,724,761,-63.81
25,4.65,654,832,831,291,-621.6,290,-626,-76,-68.7,979,966,905,191,122,722,752,-67.83
24.8,4.65,627,832,831,302,-608.8,278,-633,-71,-67,978,964,905,356,122,728,770,-68.77
25.1,4.65,620,832,831,297,-623,283,-633,-79,-73.8,971,963,907,391,95,718,744,-72.56
25,4.65,613,832,831,294,-622.2,283,-640,-81,-73.8,955,960,907,616,104,710,731,-72.13
25.5,4.64,630,832,831,298,-616.9,282,-639,-74,-64.7,941,957,909,451,113,719,762,-67.18
24.9,4.65,624,832,830,299,-624.9,278,-652,-77,-56.7,926,975,901,295,104,730,779,-61.13
25.4,4.65,633,832,831,296,-624.6,283,-636,-68,-62.2,915,972,902,477,113,729,749,-65.34
26,4.65,613,832,830,304,-617.4,274,-646,-70,-58.2,907,970,894,755,156,721,769,-65.34
